transaction_id,amount,failed_attempts
1,604252.25,0
2,25364.88,0
3,14954.23,0
4,48335.69,0
5,22811.08,0
6,136061.35,0
7,40798.35,0
8,34730.5,0
9,24693.95,0
10,36521.72,0
11,10173.09,0
12,57242.75,0
13,50611.56,0
14,20599.88,0
15,17195.28,0
16,11575.47,0
17,16576.02,0
18,68734.22,0
19,95926.85,1
20,14787.4,0
21,6938.05,0
22,101936.82,0
23,12105.5,0
24,41142.53,0
25,22976.91,0
26,18019.04,0
27,9585.85,0
28,71884.0,0
29,19563.73,0
30,5195.59,0
31,14465.55,0
32,22343.5,0
33,10872.57,0
34,20405.36,0
35,46700.07,0
36,37963.19,0
37,39865.62,0
38,60808.57,0
39,13160.57,0
40,51143.73,0
41,10258.42,0
42,11803.79,0
43,133243.05,0
44,17461.76,0
45,8896.34,0
46,16861.75,0
47,25425.34,0
48,5914.78,0
49,19567.27,0
50,37022.81,0
51,28109.55,0
52,71676.66,0
53,16951.03,2
54,7105.79,0
55,19435.44,0
56,14149.95,0
57,37340.75,0
58,65046.82,0
59,17289.1,1
60,10777.36,0
61,21096.4,0
62,146828.13,0
63,8981.39,0
64,3282.46,0
65,80483.43,0
66,20178.04,1
67,43448.18,0
68,50582.41,0
69,338231.0,0
70,28657.26,0
71,9489.91,0
72,11355.51,0
73,27838.74,0
74,21808.44,0
75,19327.98,0
76,81279.06,0
77,193191.34,0
78,8609.93,0
79,118047.2,0
80,54388.48,1
81,4164.09,0
82,21016.56,0
83,29477.4,0
84,25205.51,1
85,66465.12,1
86,30850.42,0
87,11267.53,0
88,29443.59,0
89,32159.55,0
90,31455.59,0
91,23429.75,0
92,23776.51,0
93,47778.59,0
94,90143.88,1
95,6434.47,0
96,2341.83,0
97,16904.55,0
98,8486.26,0
99,6695.25,0
100,7242.97,0
101,6370.86,0
102,7536.62,0
103,34837.26,0
104,29199.54,0
105,5736.96,0
106,5899.86,0
107,69720.41,0
108,43673.95,0
109,16405.8,0
110,35165.67,0
111,41607.39,0
112,17518.51,0
113,14584.74,0
114,60474.47,1
115,72052.35,0
116,30629.83,2
117,38821.76,0
118,75143.09,0
119,13620.51,0
120,22260.64,1
121,34037.01,0
122,79993.12,0
123,3412.3,0
124,6985.93,0
125,4487.36,0
126,14497.05,0
127,389940.39,0
128,39013.15,0
129,5374.65,0
130,18667.7,0
131,14508.78,0
132,10394.72,0
133,45196.63,0
134,38948.33,1
135,23538.8,0
136,108725.78,0
137,51244.27,0
138,12541.49,0
139,82378.46,0
140,8702.88,0
141,97551.59,0
142,9479.1,0
143,19163.43,0
144,36853.85,0
145,16719.21,0
146,32891.55,0
147,16522.69,0
148,39028.9,0
149,5228.39,0
150,3683.07,0
151,93496.76,1
152,40162.87,0
153,22263.1,1
154,8473.19,0
155,1792.25,0
156,46571.08,0
157,8426.15,0
158,3159.5,0
159,18203.24,0
160,1695.17,0
161,244826.76,0
162,22677.29,0
163,11775.2,1
164,60849.67,0
165,35848.61,0
166,44764.65,0
167,343406.96,0
168,108739.56,1
169,6342.77,0
170,188903.47,0
171,49622.64,0
172,13874.36,0
173,43478.22,0
174,53508.57,0
175,115148.63,0
176,258909.03,1
177,63338.67,1
178,7610.79,0
179,68152.23,0
180,13470.2,0
181,13989.35,0
182,22774.86,0
183,18877.82,0
184,20838.11,0
185,35767.29,0
186,28093.08,1
187,68395.26,0
188,11878.2,0
189,55755.21,0
190,79321.97,0
191,19738.78,0
192,23355.96,0
193,27942.82,0
194,11772.53,1
195,7255.9,0
196,109144.3,0
197,56696.16,0
198,19477.87,0
199,27393.96,1
200,78785.26,0
201,24760.41,0
202,19240.01,0
203,20658.13,0
204,27028.29,0
205,40187.16,0
206,15693.34,0
207,7812.26,2
208,10167.81,0
209,8548.62,0
210,38271.0,0
211,98842.43,0
212,21954.49,0
213,28141.47,0
214,52034.59,0
215,147392.36,1
216,6296.05,0
217,118112.83,0
218,28886.87,0
219,58770.18,0
220,5168.58,0
221,70429.45,0
222,14130.1,0
223,13418.02,0
224,12519.68,0
225,31324.39,0
226,52005.15,0
227,132207.06,0
228,10202.67,0
229,63303.39,0
230,31701.74,1
231,76102.63,0
232,15121.39,0
233,23857.55,0
234,19504.78,0
235,19530.87,0
236,21487.11,1
237,49704.8,0
238,74829.69,0
239,21891.93,0
240,4531.19,0
241,25442.59,0
242,156606.57,0
243,24435.76,0
244,56070.36,0
245,3735.26,0
246,7336.6,0
247,48132.89,0
248,7909.59,0
249,499249.21,0
250,3065.98,0
251,54397.2,1
